program_name,url,calendar_type
Minor in History of Capitalism,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/historyofcapitalismminor/index.html,Quarter
Minor in Human Computer Interaction,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/humancomputerinteractionminor,Quarter
Minor in Information Systems,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/informationsystemsminor/index.html,Quarter
Minor in Interdisciplinary Problem Solving,https://catalog.drexel.edu/undergraduate/honorscollege/interdisciplinaryproblemsolving/index.html,Quarter
Minor in International Economics,https://catalog.drexel.edu/undergraduate/schoolofeconomics/internationaleconomicsminor/index.html,Quarter
Minor in Italian Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/italianstudies/index.html,Quarter
Minor in Jazz and African-American Music,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/jazzandafricanamericanmusicminor/,Quarter
Minor in Jewish Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/jewishstudiesminor/index.html,Quarter
Minor in Justice Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/justicestudiesminor/index.html,Quarter
Minor in Law,https://catalog.drexel.edu/undergraduate/schooloflaw/lawminor/,Quarter
Minor in Legal Studies,https://catalog.drexel.edu/undergraduate/collegeofbusiness/legalstudiesminor/index.html,Quarter
Minor in Linguistics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/linguisticsminor/,Quarter
Minor in Management Information Systems,https://catalog.drexel.edu/undergraduate/collegeofbusiness/managementinformationsystemsminor/index.html,Quarter
Minor in Marketing,https://catalog.drexel.edu/undergraduate/collegeofbusiness/marketing/marketingminor/index.html,Quarter
Minor in Materials Science and Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/materialsscienceandengineeringminor/index.html,Quarter
Minor in Mathematics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/mathematicsminor/index.html,Quarter
Minor in Mechanical Engineering and Mechanics,https://catalog.drexel.edu/undergraduate/collegeofengineering/mechanicalengineeringminor/,Quarter
Minor in Medical Sociology,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/medicalsociologyminor/index.html,Quarter
Minor in Merchandising,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/merchandisingminor/,Quarter
Minor in Middle East and North Africa Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/menaminor,Quarter
Minor in Military Science,https://catalog.drexel.edu/additionalacademicprograms/armyrotc/#militaryscienceminortext,Quarter
Minor in Music,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/musicminor/,Quarter
Minor in Music Performance,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/musicperformanceminor/,Quarter
Minor in Music Theory and Composition,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/musictheoryandcomposition/,Quarter
Minor in Neuroscience,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/neuroscienceminor/,Quarter
Minor in Nonprofit Communication,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/nonprofitcommunication/,Quarter
Minor in Nuclear Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/nuclearengineering/,Quarter
